date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:28	23/23	---M--	200	added ('OK')	text/plain	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/robots.txt		(from )
16:34:28	63541/63541	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Sep%202020%2011:04:34%20GMT	https://monk-e.in/	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/index.html	(from )
16:34:30	10086/10086	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Jun%202020%2017:19:17%20GMT	https://monk-e.in/assets/style/home.css	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/style/home.css	(from https://monk-e.in/)
16:34:31	1674/1674	---M--	200	added ('OK')	application/javascript	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/form.js	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/form.js	(from https://monk-e.in/)
16:34:32	4347/4347	---M--	200	added ('OK')	text/css	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/style/footer.css	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/style/footer.css	(from https://monk-e.in/)
16:34:33	800/800	---M--	200	added ('OK')	text/css	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/style/social-logo.css	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/style/social-logo.css	(from https://monk-e.in/)
16:34:35	3667/3667	---M--	200	added ('OK')	text/css	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/style/desktop.css	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/style/desktop.css	(from https://monk-e.in/)
16:34:36	6380/6380	---M--	200	added ('OK')	text/css	date:Mon,%2020%20Jul%202020%2012:22:45%20GMT	https://monk-e.in/assets/style/mobile-responsive.css	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/style/mobile-responsive.css	(from https://monk-e.in/)
16:34:37	3917/3917	---M--	200	added ('OK')	text/css	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/style/ipad-ipadpro.style.css	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/style/ipad-ipadpro.style.css	(from https://monk-e.in/)
16:34:40	97162/97162	---M--	200	added ('OK')	application/javascript	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/js/jquery.js	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/js/jquery.js	(from https://monk-e.in/)
16:34:40	114423/114423	---M--	200	added ('OK')	text/css	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/style/tachyons.css	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/style/tachyons.css	(from https://monk-e.in/)
16:34:42	144877/144877	---M--	200	added ('OK')	text/css	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/style/bootstrap.min.css	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/style/bootstrap.min.css	(from https://monk-e.in/)
16:34:43	31000/31000	---M--	200	added ('OK')	text/css	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/style/font-awesome.min.css	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/style/font-awesome.min.css	(from https://monk-e.in/)
16:34:44	2289/2289	---M--	200	added ('OK')	text/css	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/style/IBM.css	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/style/IBM.css	(from https://monk-e.in/)
16:34:45	9513/9513	---M--	200	added ('OK')	text/css	date:Mon,%2020%20Jul%202020%2013:01:16%20GMT	https://monk-e.in/assets/style/app.css	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/style/app.css	(from https://monk-e.in/)
16:34:47	1436/1436	---M--	200	added ('OK')	text/css	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/style/header.css	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/style/header.css	(from https://monk-e.in/)
16:34:50	1420/1420	---M--	200	added ('OK')	text/css	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/style/Rubik.css	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/style/Rubik.css	(from https://monk-e.in/)
16:34:52	69916/69916	---M--	200	added ('OK')	application/javascript	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/js/jquerymin.js	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/js/jquerymin.js	(from https://monk-e.in/)
16:34:53	20336/20336	---M--	200	added ('OK')	application/javascript	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/js/bootstrap.min.js	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/js/bootstrap.min.js	(from https://monk-e.in/)
16:34:54	51039/51039	---M--	200	added ('OK')	application/javascript	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/js/bootstrap.min2.js	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/js/bootstrap.min2.js	(from https://monk-e.in/)
16:34:56	36868/36868	---M--	200	added ('OK')	application/javascript	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/js/bootstrap.min1.js	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/js/bootstrap.min1.js	(from https://monk-e.in/)
16:34:56	1876/1876	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/header/monkeLogo1.svg	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/header/monkeLogo1.svg	(from https://monk-e.in/)
16:34:59	85760/85760	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/title-icon.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/title-icon.png	(from https://monk-e.in/)
16:34:59	231/231	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Sep%202020%2011:05:05%20GMT	https://monk-e.in/about.php	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/about.15.delayed	(from https://monk-e.in/)
16:35:01	140034/140034	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Sep%202020%2011:05:06%20GMT	https://monk-e.in/about	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/about.html	(from https://monk-e.in/)
16:35:01	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Sep%202020%2011:05:07%20GMT	https://monk-e.in/work.php	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/work.17.delayed	(from https://monk-e.in/)
16:35:03	119913/119913	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Sep%202020%2011:05:09%20GMT	https://monk-e.in/work	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/work.html	(from https://monk-e.in/)
16:35:04	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Sep%202020%2011:05:10%20GMT	https://monk-e.in/connect.php	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/connect.19.delayed	(from https://monk-e.in/)
16:35:06	92035/92035	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Sep%202020%2011:05:12%20GMT	https://monk-e.in/connect	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/connect.html	(from https://monk-e.in/)
16:35:07	231/231	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Sep%202020%2011:05:13%20GMT	https://monk-e.in/media.php	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/media.1b.delayed	(from https://monk-e.in/)
16:35:09	83508/83508	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Sep%202020%2011:05:14%20GMT	https://monk-e.in/media	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/media.html	(from https://monk-e.in/)
16:35:10	34133/34133	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/homepage/custom%20%e2%80%93%201.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/homepage/custom%20%e2%80%93%201.png	(from https://monk-e.in/)
16:35:11	27934/27934	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/homepage/custom%20%e2%80%93%202.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/homepage/custom%20%e2%80%93%202.png	(from https://monk-e.in/)
16:35:12	28614/28614	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/homepage/custom%20%e2%80%93%203.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/homepage/custom%20%e2%80%93%203.png	(from https://monk-e.in/)
16:35:14	34592/34592	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/homepage/custom%20%e2%80%93%204.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/homepage/custom%20%e2%80%93%204.png	(from https://monk-e.in/)
16:35:16	168866/168866	---M--	200	added ('OK')	image/gif	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/homepage/slide1.gif	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/homepage/slide1.gif	(from https://monk-e.in/)
16:35:16	12052/12052	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202020%2007:59:49%20GMT	https://monk-e.in/assets/images/awards/Awards2.jpg	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/awards/Awards2.jpg	(from https://monk-e.in/)
16:35:18	14122/14122	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202020%2007:59:50%20GMT	https://monk-e.in/assets/images/awards/awards1.jpg	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/awards/awards1.jpg	(from https://monk-e.in/)
16:35:19	12008/12008	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202020%2007:59:48%20GMT	https://monk-e.in/assets/images/awards/awards3.jpg	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/awards/awards3.jpg	(from https://monk-e.in/)
16:35:21	20413/20413	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202020%2007:59:53%20GMT	https://monk-e.in/assets/images/awards/awards4.jpg	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/awards/awards4.jpg	(from https://monk-e.in/)
16:35:22	20250/20250	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202020%2007:59:52%20GMT	https://monk-e.in/assets/images/awards/awards6.jpg	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/awards/awards6.jpg	(from https://monk-e.in/)
16:35:24	19649/19649	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202020%2007:59:51%20GMT	https://monk-e.in/assets/images/awards/awards5.jpg	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/awards/awards5.jpg	(from https://monk-e.in/)
16:35:25	55990/55990	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/homepage/Nykaman1.jpg	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/homepage/Nykaman1.jpg	(from https://monk-e.in/)
16:35:26	3099/3099	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/brands/logo-1.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/brands/logo-1.png	(from https://monk-e.in/)
16:35:27	2781/2781	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/brands/logo-2.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/brands/logo-2.png	(from https://monk-e.in/)
16:35:28	5197/5197	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/brands/logo-3.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/brands/logo-3.png	(from https://monk-e.in/)
16:35:29	2808/2808	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/brands/logo-4.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/brands/logo-4.png	(from https://monk-e.in/)
16:35:31	2399/2399	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/brands/logo-5.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/brands/logo-5.png	(from https://monk-e.in/)
16:35:32	39408/39408	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/brands/logo-6.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/brands/logo-6.png	(from https://monk-e.in/)
16:35:33	2706/2706	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/brands/logo-7.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/brands/logo-7.png	(from https://monk-e.in/)
16:35:34	4947/4947	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/brands/logo-8.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/brands/logo-8.png	(from https://monk-e.in/)
16:35:36	3510/3510	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/brands/logo-9.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/brands/logo-9.png	(from https://monk-e.in/)
16:35:37	6672/6672	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/brands/logo-10.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/brands/logo-10.png	(from https://monk-e.in/)
16:35:39	22075/22075	---M--	200	added ('OK')	image/png	date:Thu,%2021%20May%202020%2013:26:46%20GMT	https://monk-e.in/assets/images/brands/logo-11.png	C:/Users/pvsai/OneDrive/Desktop/Nowhere/Nowhere/monk-e.in/assets/images/brands/logo-11.png	(from https://monk-e.in/)
